date,BERT,DEEPSEEK,LLAMA
2015-01-31,-0.2005220533590904,-0.1972612571859391,-0.076638783001566
2015-02-28,-0.17203430287392,-0.1799482628356566,-0.0384310633376329
2015-03-31,-0.1361274464023094,-0.1283150759764811,0.0075324052970534
2015-04-30,-0.1274332786316096,-0.065437222125148,0.0927224237116575
2015-05-31,-0.1097007922816739,-0.0383947677574818,0.1433499096836726
2015-06-30,-0.101563856629194,-0.0217279082676917,0.1600742464772135
2015-07-31,-0.087949588354079,-0.0179984015380239,0.1155143699585741
2015-08-31,-0.1541342635535506,-0.0337141847840491,0.0665146801322713
2015-09-30,-0.1749902582373901,-0.018112875923299,0.0480635673824462
2015-10-31,-0.1645202968629939,-0.025565388178201,0.0585484462788775
2015-11-30,-0.0979494575745418,-0.0314894661201485,0.0370624093020074
2015-12-31,-0.0927747506002744,-0.0267138109861872,0.0538750027831334
2016-01-31,-0.1343620583140374,-0.0793390241149169,0.0106481676447459
2016-02-29,-0.1530732676363037,-0.0603391077689239,0.0304215663171124
2016-03-31,-0.1259165827952869,-0.084135716878033,0.04345366262447
2016-04-30,-0.0764272943668646,-0.0404155073517942,0.1144411733910506
2016-05-31,-0.0283671520767634,0.0121871604556258,0.1862519570372588
2016-06-30,-0.0137995190938746,0.082014007723686,0.2494061849119836
2016-07-31,0.0091961671441357,0.1298188754887093,0.268157921457231
2016-08-31,0.0122735512947623,0.1241562090843549,0.2904088249161882
2016-09-30,-0.0021403313380345,0.1066316766311096,0.2577989639110182
2016-10-31,-0.010250902003286,0.101926900078089,0.2473865717228652
2016-11-30,-0.0134463485843081,0.1220847281323876,0.2401452623076427
2016-12-31,-0.003671625565302,0.1320317730496454,0.2627154746030872
2017-01-31,-0.0137166865031206,0.1320171131978287,0.2643578932224291
2017-02-28,0.0076327073474958,0.1686505331112486,0.2997710308094797
2017-03-31,0.0113707214198154,0.149914328302392,0.249456412208416
2017-04-30,0.0448611875014527,0.1930095884441659,0.2916173752595705
2017-05-31,0.0215397308039601,0.1814812616984479,0.246550234332557
2017-06-30,0.0531954395155193,0.2267356545649572,0.2910756223477693
2017-07-31,0.0521771311007403,0.194564650105129,0.253794979049533
2017-08-31,0.0433538895378632,0.1535311551109431,0.2315744651026847
2017-09-30,0.0162610218798605,0.1786661746612852,0.2516368206688653
2017-10-31,0.0101240795565531,0.2092165529701005,0.2887687086544119
2017-11-30,0.0266575907371986,0.2310424439740737,0.3163016737735838
2017-12-31,0.0382421329877627,0.1960439008505306,0.3307319532319532
2018-01-31,0.0414926300375182,0.1812571759577747,0.3225361860361861
2018-02-28,0.0524329939474799,0.1980721961435814,0.3240130456136043
2018-03-31,0.0661599916035869,0.1956449612163465,0.2829809513096979
2018-04-30,0.0404460523515743,0.1647836910559374,0.2450523798811264
2018-05-31,0.0328676523560128,0.1402305756320354,0.2107774625056504
2018-06-30,0.0013276408822176,0.0913672122686721,0.1918736593736593
2018-07-31,0.0048332339726528,0.0746035248753091,0.1573635110520356
2018-08-31,-0.0106942359466691,0.0291306453955802,0.1397106308991555
2018-09-30,-0.0161341576579669,0.0226726508156344,0.1398472429210134
2018-10-31,-0.0123796989778829,0.0440221173933168,0.1711646002373461
2018-11-30,-0.0083646464770879,0.07105847649687,0.1882770228055698
2018-12-31,-0.0123166784305587,0.0772489526873462,0.1297679538197056
2019-01-31,-0.0394455087174479,0.034536524764392,0.083624010131119
2019-02-28,-0.0516936792601626,0.0446629029018539,0.0688734413953374
2019-03-31,-0.0322298087789764,0.0642376108338071,0.0889742934210721
2019-04-30,-0.0027453307390466,0.1061919967987194,0.0947440087145969
2019-05-31,0.0107077832531513,0.1099803078220535,0.1143168378462496
2019-06-30,-0.008675452708984,0.0882690778755294,0.1194818668208024
2019-07-31,-0.0089441521830342,0.0985105193169709,0.1545156427350814
2019-08-31,-0.0351358638828857,0.0646596232596232,0.114358349048376
2019-09-30,-0.0485382551904348,0.0818152976505917,0.0925960111544169
2019-10-31,-0.0607175774221337,0.0830227788960957,0.0608099905712265
2019-11-30,-0.0162337263492068,0.1347952935159788,0.1100834948447308
2019-12-31,0.0075458580552817,0.1461869343828519,0.1713178705497982
2020-01-31,0.0018543523144931,0.1055241947701723,0.1878058133581636
2020-02-29,-0.0426912140845019,0.0226294579280671,0.1091278425834186
2020-03-31,-0.0939172208874501,-0.0494519811769417,0.061217903707681
2020-04-30,-0.1122294560393635,-0.0704644613372063,0.0220055149472578
2020-05-31,-0.1256538776044752,-0.070022284466458,0.0399620176475935
2020-06-30,-0.111727902563011,-0.0601342994267198,0.0499324206018674
2020-07-31,-0.1073581210954628,-0.0427540928757007,0.084231890991853
2020-08-31,-0.096023173274578,-0.0198125622047103,0.1138180223576771
2020-09-30,-0.0933175984865755,0.0119773430341564,0.1207254297650845
2020-10-31,-0.081223608071508,-0.0036411404218955,0.1065659426883464
2020-11-30,-0.0422487975391186,0.0276586145686655,0.1412283079239601
2020-12-31,-0.0112987848102281,0.0246728567952365,0.1655692416916039
2021-01-31,0.0390218572099569,0.0346679272401686,0.1901786058115939
2021-02-28,0.0363833686416859,0.0136426261266166,0.1817776977765395
2021-03-31,0.061973130776749,0.0240447128039842,0.1842086938334571
2021-04-30,0.0630975154757416,0.0632656635956484,0.224722745715699
2021-05-31,0.0667424130258959,0.0702860085521283,0.2139317345588342
2021-06-30,0.0695443943269253,0.0715042226266404,0.2150991986736667
2021-07-31,0.0752745702596086,0.0558964083398771,0.1511964681332711
2021-08-31,0.0808313374983694,0.0308513121914852,0.1243031507227123
